feature,importance
bwd_packet_length_std,0.44338768729767886
average_packet_size,0.14795865098766003
max_packet_length,0.13905088213214895
bwd_header_length,0.12926321249192843
destination_port,0.03824984900410744
fwd_header_length,0.014883447607060233
init_win_bytes_forward,0.014460368974658118
fwd_iat_min,0.013238953770582975
fwd_packet_length_std,0.010590505773371102
bwd_packets/s,0.006201310185617228
idle_min,0.004283917374869925
flow_iat_min,0.00384116087056547
min_seg_size_forward,0.002802709881917783
init_win_bytes_backward,0.002733423967899299
active_std,0.0026362045284257646
bwd_iat_std,0.0024805409116047485
flow_duration,0.002430062792013711
flow_packets/s,0.0021578089121185085
fwd_iat_max,0.0020776911833025836
flow_iat_max,0.001757183404501964
packet_length_mean,0.0016953159986525916
bwd_iat_mean,0.0013540227766744432
flow_iat_mean,0.0012352432146129418
flow_iat_std,0.0010498137127905082
avg_bwd_segment_size,0.0008230584197676428
min_packet_length,0.0007991504819116477
fwd_iat_mean,0.0007260297542001563
subflow_fwd_bytes,0.0006844723572007046
syn_flag_count,0.0005984197746241489
bwd_iat_min,0.0005564647094326518
fwd_packets/s,0.0005123989546008848
subflow_bwd_packets,0.00046710337979362273
fwd_iat_total,0.0004135469356007056
bwd_iat_total,0.00041264064360250775
subflow_fwd_packets,0.00040008088257276414
fwd_psh_flags,0.0003648319009108697
total_fwd_packets,0.0003512732336590499
urg_flag_count,0.00029015037243859367
bwd_packet_length_mean,0.0002527915401438881
subflow_bwd_bytes,0.0002413851567533355
avg_fwd_segment_size,0.00024104150584679885
total_length_of_fwd_packets,0.0002091607687342351
fwd_iat_std,0.00020742675918488513
total_length_of_bwd_packets,0.00020568332220294837
total_backward_packets,0.0001736858514939809
fwd_packet_length_max,0.00017023624870985063
flow_bytes/s,0.0001281767888502203
packet_length_variance,0.00012654532022286685
fwd_packet_length_min,0.00010834874670784742
fwd_packet_length_mean,0.00010364150001427883
fin_flag_count,8.468099230641103e-05
packet_length_std,8.20200731901483e-05
bwd_packet_length_max,7.536207056764122e-05
bwd_iat_max,7.07197115407505e-05
psh_flag_count,5.993208997484576e-05
act_data_pkt_fwd,4.839517861950746e-05
down/up_ratio,4.6380952338785414e-05
active_min,3.356768426462364e-05
protocol,2.7716020363290695e-05
idle_std,2.1483424830130744e-05
bwd_packet_length_min,2.0027180082499727e-05
ack_flag_count,1.3286291360468944e-05
idle_mean,1.0166342256662573e-05
active_max,8.273026905532603e-06
active_mean,6.474070225377543e-06
idle_max,3.5444881192921005e-06
cwe_flag_count,2.573365800188311e-07
fwd_urg_flags,2.5291456086500287e-12
bwd_urg_flags,0.0
bwd_psh_flags,0.0
rst_flag_count,0.0
bwd_avg_bulk_rate,0.0
bwd_avg_packets/bulk,0.0
bwd_avg_bytes/bulk,0.0
fwd_avg_bulk_rate,0.0
fwd_avg_packets/bulk,0.0
fwd_avg_bytes/bulk,0.0
ece_flag_count,0.0
